PK%,SemiFinal
84.69,1
85.71,0
82.75,1
84.14,0
80.74,1
86.2,0
81.15,0
87.18,0
85.35,1
86.43,0
80.88,0
88.02,0
84.97,0
82.48,0
83.77,0
86.17,0
86.61,0
86.01,1
84.96,0
86.98,1
81.47,0
85.22,0
83.77,0
84.36,0
85.79,0
83.73,1
85.83,0
83.15,0
84.45,1
86.28,0
87.11,0
86.35,0
85.41,0
84.94,1
84.06,0
81.75,0
85.55,0
82.45,0
82.67,0
82.59,0
86.85,0
81.25,0
87.39,1
83.46,0
82.62,0
85.21,0
81.46,1
87.88,1
83.57,0
83.33,1
83.75,0
83.42,0
86.75,0
84.55,0
82.48,0
81.77,0
85.27,1
85.52,0
85.34,0
84.89,1
83.58,0
85.85,0
84.68,1
86.11,0
85.47,0
86.56,1
84.66,0
81.08,0
84.6,0
83.74,0
84.62,0
84.25,0
80.7,0
84.1,1
83.53,1
79.14,0
81.8,1
81.95,0
83.73,0
81.59,0
83.33,0
85.12,1
82.1,0
85.96,0
84.35,0
83.75,0
78.36,0
80.43,0
81.76,0
84.52,1
85.24,0
81.35,1
85.9,0
86.93,0
84.56,1
79.8,0
82.46,0
83.25,1
84.03,1
80.95,1
85.15,0
80.52,0
85.81,0
81.05,0
85.59,1
78.61,0
81.49,0
83.09,0
84.55,0
82.8,0
85.37,0
81.4,0
78.29,1
80.62,0
83.22,0
82.35,0
79.74,0
82.95,0
83.75,0
80.61,1
82.43,0
79.94,0
81.4,0
80.4,1
82.71,1
83.38,0
87.84,0
82.08,0
78.8,0
82.96,1
82.93,1
81.56,0
84.88,1
80.26,0
83.9,0
82.92,0
80.2,0
84.96,1
86.62,0
84.1,0
84.28,0
86.4,0
77.13,0
84.54,0
85.58,1
81.31,0
79.49,1
79.22,0
82.33,0
83.77,1
84.4,0
83,0
85.62,0
93.66,0
82.75,0
82.64,1
85.51,0
78.38,0
86.11,0
84.93,0
83.61,0
76.89,0
86.01,0
87.78,0
81.82,0
89.5,0
81.61,0
89.58,1
83.46,0
87.03,1
85.82,0
81.58,0
81.75,0
86.15,1
78.11,0
85.54,1
85.04,0
83.65,0
80.72,0
85.67,0
84.81,0
81.45,1
82.14,0
80.74,0
85.34,1
78.8,0
83.05,0
85.12,1
84.93,0
82.22,0
81.37,0
83.11,1
81.2,0
80.9,0
83.66,0
85.71,0
84.84,0
80.65,0
83.66,1
77.88,0
81.82,0
83.41,1
84.26,1
82.88,0
83.66,0
80.77,0
86.32,0
81.02,1
87.24,0
80.26,0
80.51,1
82.26,0
85.16,0
85.14,1
81.4,0
81.22,0
80.53,0
81.55,0
84.48,0
78.19,0
77.94,0
84.44,1
79.48,0
84.05,1
82.47,0
79.77,1
83.82,0
80.72,0
85.71,0
84.79,0
82.95,0
79.91,0
81.59,0
82.51,0
81.12,0
80.91,1
84.7,1
77.73,0
79.76,1
80.66,0
